,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL,Total Download Revenue ($)
57,Pocket God™,GAME_ARCADE,3.7,30430,0.99,500000,"Bolt Creative, Inc",https://play.google.com/store/apps/details?id=com.ngmoco.pocketgod,495000.0
58,Max Payne Mobile,GAME_ARCADE,4.2,31043,2.99,100000,Rockstar Games,https://play.google.com/store/apps/details?id=com.rockstar.maxpayne,299000.0
59,"Peace, Death!",GAME_ARCADE,4.7,5610,0.99,100000,AZAMATIKA,https://play.google.com/store/apps/details?id=cc.peacedeath.peacedeath,99000.0
60,Vector Full,GAME_ARCADE,4.2,35920,0.99,500000,NEKKI,https://play.google.com/store/apps/details?id=com.nekki.vector.paid,495000.0
61,SuperRetro16 ( SNES Emulator ),GAME_ARCADE,4.3,38564,3.99,1000000,Neutron Emulation,https://play.google.com/store/apps/details?id=com.bubblezapgames.supergnes,3990000.0
62,Retro N64 Pro - N64 Emulator,GAME_ARCADE,4.5,170,2.99,1000,Retro Game Emulators,https://play.google.com/store/apps/details?id=org.mupen64plusae.retron64.pro,2990.0
63,Retro NES Pro - NES Emulator,GAME_ARCADE,4.7,196,2.99,1000,Retro Game Emulators,https://play.google.com/store/apps/details?id=com.retrones.pro,2990.0
64,PAC-MAN Championship Edition DX,GAME_ARCADE,4.5,1892,1.99,10000,BANDAI NAMCO Entertainment America Inc.,https://play.google.com/store/apps/details?id=com.bandainamcoent.pacmancedx,19900.0
65,Worms 3,GAME_ARCADE,4.2,67904,4.99,1000000,Team 17 Digital Limited,https://play.google.com/store/apps/details?id=com.worms3.app,4990000.0
66,Ms. PAC-MAN,GAME_ARCADE,4.3,5519,3.99,100000,BANDAI NAMCO Entertainment America Inc.,https://play.google.com/store/apps/details?id=com.NamcoNetworks.MsPacMan,399000.0
67,Robot Unicorn Attack,GAME_ARCADE,3.9,11348,0.99,100000,[adult swim] games,https://play.google.com/store/apps/details?id=com.RobotUnicornAttack,99000.0
68,Marvel Pinball,GAME_ARCADE,3.9,8505,0.99,100000,Zen Studios,https://play.google.com/store/apps/details?id=com.zenstudios.MarvelPinball,99000.0
