,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL,Total Download Revenue ($)
178,Toca Blocks,GAME_EDUCATIONAL,4.4,5880,3.99,100000,Toca Boca,https://play.google.com/store/apps/details?id=com.tocaboca.blocks,399000.0
179,My Town : Hospital,GAME_EDUCATIONAL,4.2,915,2.99,10000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mytown.hospital,29900.000000000004
180,Explore Daniel's Neighborhood,GAME_EDUCATIONAL,4.4,1412,2.99,50000,PBS KIDS,https://play.google.com/store/apps/details?id=org.pbskids.dtigerexploreneighborhood,149500.0
181,My Town : Airport,GAME_EDUCATIONAL,4.5,513,2.99,10000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mytown.airport,29900.000000000004
182,Wonderland : Little Mermaid,GAME_EDUCATIONAL,4.5,3769,2.99,100000,My Town Games Ltd,https://play.google.com/store/apps/details?id=wonderland.mermaid,299000.0
183,Toca Mystery House,GAME_EDUCATIONAL,4.3,155,3.99,10000,Toca Boca,https://play.google.com/store/apps/details?id=com.tocaboca.tocamysteryhouse,39900.0
184,Toca Lab: Plants,GAME_EDUCATIONAL,4.2,736,3.99,50000,Toca Boca,https://play.google.com/store/apps/details?id=com.tocaboca.tocalabplants,199500.0
185,Peppa Pig: Holiday,GAME_EDUCATIONAL,3.7,394,2.99,50000,Entertainment One,https://play.google.com/store/apps/details?id=com.peppapig.holiday,149500.0
186,My City : Office,GAME_EDUCATIONAL,4.4,97,2.99,5000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mycity.office,14950.000000000002
187,Daniel Tiger's Stop & Go Potty,GAME_EDUCATIONAL,3.1,146,2.99,10000,PBS KIDS,https://play.google.com/store/apps/details?id=air.org.pbskids.danieltigerpottyapp,29900.000000000004
188,My Town : School,GAME_EDUCATIONAL,4.3,663,2.99,10000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mytown.school,29900.000000000004
189,Learn to Read with Tommy Turtle,GAME_EDUCATIONAL,4.2,1119,2.99,100000,Intellijoy Educational Games for Kids,https://play.google.com/store/apps/details?id=com.intellijoy.android.reading,299000.0
190,BRIO World - Railway,GAME_EDUCATIONAL,4.5,456,2.99,10000,Filimundus AB,https://play.google.com/store/apps/details?id=se.filimundus.briorailway,29900.000000000004
191,Numberblocks - Hide and Seek,GAME_EDUCATIONAL,3.8,17,3.99,500,Blue Zoo,https://play.google.com/store/apps/details?id=uk.co.bluezoo.numberblocks.game1,1995.0
192,Stack the States® 2,GAME_EDUCATIONAL,4.4,131,2.99,10000,Dan Russell-Pinson,https://play.google.com/store/apps/details?id=com.freecloud.StackTheStates2,29900.000000000004
193,My Town : Hotel,GAME_EDUCATIONAL,4.2,922,2.99,10000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mytown.hotel,29900.000000000004
194,Dr. Panda Restaurant 2,GAME_EDUCATIONAL,4.3,3792,2.99,100000,Dr. Panda,https://play.google.com/store/apps/details?id=com.tribeplay.pandarestaurant2,299000.0
195,My Town : Best Friends' House,GAME_EDUCATIONAL,4.4,778,2.99,10000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mytown.friendshouse,29900.000000000004
196,My Town : ICEME Amusement Park,GAME_EDUCATIONAL,4.5,243,2.99,10000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mytown.amusementpark,29900.000000000004
197,My City : Dentist visit,GAME_EDUCATIONAL,4.4,138,2.99,5000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mycity.dentist,14950.000000000002
198,Second Grade Learning Games,GAME_EDUCATIONAL,4.4,555,3.99,10000,RosiMosi LLC,https://play.google.com/store/apps/details?id=com.kevinbradford.games.secondgrade,39900.0
199,PAW Patrol Air and Sea Adventures,GAME_EDUCATIONAL,3.9,1997,3.99,100000,Nickelodeon,https://play.google.com/store/apps/details?id=net.pluginmedia.pawpatrolflyer,399000.0
200,Cytus II,GAME_MUSIC,4.7,28549,1.99,100000,Rayark International Limited,https://play.google.com/store/apps/details?id=com.rayark.cytus2,199000.0
201,Incredibox,GAME_MUSIC,4.8,4599,3.99,50000,So Far So Good,https://play.google.com/store/apps/details?id=com.sofarsogood.incredibox,199500.0
202,Lowriders Comeback 2: Cruising,GAME_MUSIC,4.7,701,1.99,10000,MontanaGames,https://play.google.com/store/apps/details?id=com.MontanaGames.Lowriders.Comeback2,19900.0
203,Muse Dash,GAME_MUSIC,4.7,7458,2.99,50000,X.D. Network,https://play.google.com/store/apps/details?id=com.prpr.musedash,149500.0
204,My Singing Monsters Composer,GAME_MUSIC,4.4,297,4.49,1000,Big Blue Bubble,https://play.google.com/store/apps/details?id=com.bigbluebubble.msmcomposer,4490.0
205,Note Rush: Learn to Read Music,GAME_MUSIC,4.4,113,3.99,5000,Thomas Grayston Software,https://play.google.com/store/apps/details?id=com.TGSoftware.NoteRush,19950.0
206,Sonar Beat,GAME_MUSIC,4.7,3,2.49,10,Life Zero,https://play.google.com/store/apps/details?id=com.LifeZero.SonarBeat,24.900000000000002
207,Wonder Parade,GAME_MUSIC,4.7,118,3.99,1000,studioQuare,https://play.google.com/store/apps/details?id=com.studioQuare.WP,3990.0
208,Beat Bugs: Sing-Along,GAME_MUSIC,3.8,5,1.99,100,PlayDate Digital Inc.,https://play.google.com/store/apps/details?id=com.playdatedigital.beatbugs,199.0
209,Learn Music Notes,GAME_MUSIC,4.8,184,1.99,5000,K0RTXTECH,https://play.google.com/store/apps/details?id=air.junglemusic,9950.0
210,Caustic 3.2 HipHop Pack 2,GAME_MUSIC,3.0,2,0.99,100,"Teoti Graphix, LLC",https://play.google.com/store/apps/details?id=com.teotigraphix.hiphop2,99.0
211,Caustic 3.2 DrumSynth Pack 2,GAME_MUSIC,,0,0.99,100,"Teoti Graphix, LLC",https://play.google.com/store/apps/details?id=com.teotigraphix.drumsynth2,99.0
212,Caustic 3.2 Tech House Pack 1,GAME_MUSIC,5.0,2,0.99,100,"Teoti Graphix, LLC",https://play.google.com/store/apps/details?id=com.teotigraphix.techhouse1,99.0
213,Caustic 3.2 Techno Pack 3,GAME_MUSIC,,0,1.49,100,"Teoti Graphix, LLC",https://play.google.com/store/apps/details?id=com.teotigraphix.techno3,149.0
214,MC Lars: The Video Game,GAME_MUSIC,4.9,31,4.99,100,Synersteel Studio,https://play.google.com/store/apps/details?id=com.Synersteel.MCLars,499.0
215,Frederic - Evil Strikes Back,GAME_MUSIC,4.7,18,0.99,100,Forever Entertainment,https://play.google.com/store/apps/details?id=com.forever.frederic2new,99.0
216,Black Metal Man,GAME_MUSIC,4.3,845,0.99,10000,SinSquid Games,https://play.google.com/store/apps/details?id=com.sinsquid.blackmetal,9900.0
217,Piano Master,GAME_MUSIC,4.4,2481,1.99,50000,B77 Entertainment,https://play.google.com/store/apps/details?id=it.b77.pianomaster2,99500.0
218,Piano Flashcards,GAME_MUSIC,4.3,20,2.0,500,Uriel Frankel,https://play.google.com/store/apps/details?id=frankel.uriel.piano,1000.0
219,Drum Pad Beats,GAME_MUSIC,4.9,13,7.99,100,"Teoti Graphix, LLC",https://play.google.com/store/apps/details?id=com.teotigraphix.drumpadbeats,799.0
220,Caustic 3.2 Minimal Pack 2,GAME_MUSIC,5.0,2,0.99,100,"Teoti Graphix, LLC",https://play.google.com/store/apps/details?id=com.teotigraphix.minimal2,99.0
221,Note Fighter Unlimited,GAME_MUSIC,4.2,522,1.99,10000,MythicOwl,https://play.google.com/store/apps/details?id=net.notefighter.android,19900.0
222,A Dance of Fire and Ice,GAME_MUSIC,4.4,434,0.99,5000,Hafiz Azman,https://play.google.com/store/apps/details?id=com.fizzd.connectedworlds,4950.0
223,Beat Beat Vocaloid,GAME_MUSIC,2.5,1046,1.99,10000,kestrel games studio,https://play.google.com/store/apps/details?id=com.kestrel.BBV,19900.0
224,Meow Music,GAME_MUSIC,5.0,2,0.99,10,Eyponr,https://play.google.com/store/apps/details?id=com.eyup.MeowMusicFEE,9.9
225,Scribblenauts Remix,GAME_PUZZLE,4.2,106348,0.99,1000000,Warner Bros. International Enterprises,https://play.google.com/store/apps/details?id=com.wb.goog.scribbleremix,990000.0
226,The Room,GAME_PUZZLE,4.8,238880,0.99,1000000,Fireproof Games,https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom,990000.0
227,Scribblenauts Unlimited,GAME_PUZZLE,4.4,12801,4.99,100000,Warner Bros. International Enterprises,https://play.google.com/store/apps/details?id=com.wb.goog.scribblenauts3,499000.0
228,The Room: Old Sins,GAME_PUZZLE,4.9,38757,4.99,100000,Fireproof Games,https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom4,499000.0
229,Agent A: A puzzle in disguise,GAME_PUZZLE,4.8,22181,1.29,100000,Yak & Co,https://play.google.com/store/apps/details?id=co.yakand.agentaapuzzleindisguise,129000.0
230,The Room Two,GAME_PUZZLE,4.9,202024,1.99,1000000,Fireproof Games,https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom2,1990000.0
231,Florence,GAME_PUZZLE,4.8,5768,2.99,50000,Annapurna Interactive,https://play.google.com/store/apps/details?id=com.mountains.feathertop,149500.0
232,Monument Valley,GAME_PUZZLE,4.8,208449,3.99,1000000,ustwo games,https://play.google.com/store/apps/details?id=com.ustwo.monumentvalley,3990000.0
233,The Room Three,GAME_PUZZLE,4.9,86758,3.99,500000,Fireproof Games,https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom3,1995000.0
234,The House of Da Vinci,GAME_PUZZLE,4.8,15650,4.99,100000,Blue Brain Games s.r.o.,https://play.google.com/store/apps/details?id=com.bluebraingames.thehouseofdavinci,499000.0
235,Monument Valley 2,GAME_PUZZLE,4.7,12983,4.99,100000,ustwo games,https://play.google.com/store/apps/details?id=com.ustwo.monumentvalley2,499000.0
236,Bridge Constructor Portal,GAME_PUZZLE,4.9,5464,4.99,100000,Headup,https://play.google.com/store/apps/details?id=com.headupgames.bridgeconstructorportal,499000.0
237,Hitman GO,GAME_PUZZLE,4.6,85906,0.99,500000,SQUARE ENIX Ltd,https://play.google.com/store/apps/details?id=com.squareenixmontreal.hitmango,495000.0
238,Lara Croft GO,GAME_PUZZLE,4.8,60014,0.99,500000,SQUARE ENIX Ltd,https://play.google.com/store/apps/details?id=com.squareenixmontreal.lcgo,495000.0
239,Where's My Water?,GAME_PUZZLE,4.7,189818,1.99,1000000,Disney,https://play.google.com/store/apps/details?id=com.disney.WMW,1990000.0
240,Doodle God™,GAME_PUZZLE,4.2,14734,0.99,100000,JoyBits Co. Ltd.,https://play.google.com/store/apps/details?id=joybits.doodlegod,99000.0
241,Legacy 3 - The Hidden Relic,GAME_PUZZLE,4.9,104,2.99,500,No Signal Productions,https://play.google.com/store/apps/details?id=com.nosignalproductions.legacyhidden,1495.0
242,Doodle God™ HD,GAME_PUZZLE,4.1,5435,1.99,50000,JoyBits Co. Ltd.,https://play.google.com/store/apps/details?id=joybits.doodlegod_hd,99500.0
243,"Please, Don't Touch Anything",GAME_PUZZLE,4.4,1865,4.99,50000,ForwardXP,https://play.google.com/store/apps/details?id=com.fourquarters.PleaseDontTouchAnything,249500.0
244,Human Resource Machine,GAME_PUZZLE,4.7,1082,4.99,10000,Tomorrow Corporation,https://play.google.com/store/apps/details?id=com.tomorrowcorporation.humanresourcemachine,49900.0
245,Cut the Rope GOLD,GAME_PUZZLE,4.6,64103,0.99,1000000,ZeptoLab,https://play.google.com/store/apps/details?id=com.zeptolab.ctr.paid,990000.0
246,Gorogoa,GAME_PUZZLE,4.7,674,4.99,10000,Annapurna Interactive,https://play.google.com/store/apps/details?id=unity.Annapurna.Gorogoa,49900.0
247,Scalak,GAME_PUZZLE,4.9,888,0.99,1000,Hamster On Coke Games,https://play.google.com/store/apps/details?id=com.hamsteroncoke.scalak,990.0
248,Doodle Devil™ HD,GAME_PUZZLE,4.2,1185,0.99,10000,JoyBits Co. Ltd.,https://play.google.com/store/apps/details?id=com.joybits.doodledevil_hd_pay,9900.0
249,Deus Ex GO,GAME_PUZZLE,4.5,9975,0.99,100000,SQUARE ENIX Ltd,https://play.google.com/store/apps/details?id=com.squareenixmontreal.deusexgo,99000.0
250,Earn to Die,GAME_RACING,4.5,78922,1.49,1000000,Not Doppler,https://play.google.com/store/apps/details?id=com.notdoppler.earntodie,1490000.0
251,Bike Race Pro by T. F. Games,GAME_RACING,4.7,22449,0.99,100000,Top Free Games.,https://play.google.com/store/apps/details?id=com.topfreegames.bikeraceproworld,99000.0
252,Real Drift Car Racing,GAME_RACING,4.6,54019,0.99,500000,Real Games srls,https://play.google.com/store/apps/details?id=com.realdrift.sipon,495000.0
253,Need for Speed Most Wanted,GAME_RACING,3.9,44742,4.99,1000000,ELECTRONIC ARTS,https://play.google.com/store/apps/details?id=com.ea.games.nfs13_na,4990000.0
254,Motorsport Manager Mobile 3,GAME_RACING,4.7,6370,3.99,100000,Playsport Games,https://play.google.com/store/apps/details?id=com.playsportgames.mmm3,399000.0
255,TRAIL CLIMB,GAME_RACING,3.3,683,0.99,10000,GOOD BOYS,https://play.google.com/store/apps/details?id=com.GB.TRAILCLIMB,9900.0
256,Dirt Trackin,GAME_RACING,4.6,5935,2.99,50000,"Bennett Racing Simulations, LLC",https://play.google.com/store/apps/details?id=com.bennettracingsimulations.dirttrackin,149500.0
257,Riptide GP: Renegade,GAME_RACING,4.7,4730,2.99,100000,Vector Unit,https://play.google.com/store/apps/details?id=com.vectorunit.silver.googleplay,299000.0
258,PJ Masks: Racing Heroes,GAME_RACING,2.7,24,3.99,1000,Entertainment One,https://play.google.com/store/apps/details?id=com.pjmasks.racingheroes,3990.0
259,Rush Rally 2,GAME_RACING,4.5,3096,1.99,50000,Brownmonster Limited,https://play.google.com/store/apps/details?id=brownmonster.app.game.rushrally2,99500.0
260,Dirt Trackin Sprint Cars,GAME_RACING,3.8,636,3.99,10000,"Bennett Racing Simulations, LLC",https://play.google.com/store/apps/details?id=com.dt.sprintcars,39900.0
261,Drag Racing 3D,GAME_RACING,4.4,13645,0.99,100000,REVOLUTION FIST,https://play.google.com/store/apps/details?id=com.mvasiliy.dragracing3d,99000.0
262,Need for Speed Hot Pursuit,GAME_RACING,3.3,4415,4.99,100000,ELECTRONIC ARTS,https://play.google.com/store/apps/details?id=com.eamobile.nfshp_na_wf,499000.0
263,Ricky Carmichael's Motocross,GAME_RACING,3.9,5351,0.99,100000,"2XL Games, Inc.",https://play.google.com/store/apps/details?id=com.twoxlgames.mxmatchup,99000.0
264,Bike Mayhem Mountain Racing,GAME_RACING,4.3,17061,0.99,100000,Best Free Games Inc.,https://play.google.com/store/apps/details?id=mobi.bestfreegames.bike.mayhem.extreme.mountain.racing,99000.0
265,Reckless Racing 3,GAME_RACING,4.4,18107,2.49,100000,Pixelbite,https://play.google.com/store/apps/details?id=com.pixelbite.rr3,249000.00000000003
266,Riptide GP2,GAME_RACING,4.6,37225,1.99,500000,Vector Unit,https://play.google.com/store/apps/details?id=com.vectorunit.red,995000.0
267,ULTRA4 Offroad Racing,GAME_RACING,4.1,3812,1.99,100000,Gigabit Games,https://play.google.com/store/apps/details?id=com.GigaBitGames.Ultra4OffroadRacing,199000.0
268,Outlaws - Sprint Car Racing,GAME_RACING,1.4,5,3.49,100,Game Mode,https://play.google.com/store/apps/details?id=ea.f1championship,349.0
269,Draw Rider Plus,GAME_RACING,4.5,2804,1.99,10000,17Studio,https://play.google.com/store/apps/details?id=com.Studio17.drawriderplus,19900.0
270,Riptide GP,GAME_RACING,4.5,9329,0.99,100000,Vector Unit,https://play.google.com/store/apps/details?id=com.vectorunit.blue,99000.0
271,F1 2016,GAME_RACING,4.1,10861,1.99,100000,Codemasters Software Company Ltd,https://play.google.com/store/apps/details?id=com.codemasters.f12016,199000.0
272,Dirt Racing Mobile 3D,GAME_RACING,4.4,290,3.99,5000,Windowed Universe LLC,https://play.google.com/store/apps/details?id=com.windoweduniverse.dirtracingmobile3d,19950.0
273,Pocket Rally,GAME_RACING,4.2,6736,0.99,100000,Illusion Magic Studio,https://play.google.com/store/apps/details?id=com.IMStudio.PocketRally,99000.0
274,Repulze,GAME_RACING,4.2,1784,1.49,10000,Pixelbite,https://play.google.com/store/apps/details?id=com.pixelbite.Repulze,14900.0
275,Evoland,GAME_ROLE_PLAYING,4.4,7446,0.99,100000,Playdigious,https://play.google.com/store/apps/details?id=air.com.shirogames.evoland12,99000.0
276,Star Wars™: KOTOR,GAME_ROLE_PLAYING,4.5,40011,9.99,100000,"Aspyr Media, Inc.",https://play.google.com/store/apps/details?id=com.aspyr.swkotor,999000.0
277,Doom & Destiny Advanced,GAME_ROLE_PLAYING,4.7,6949,4.99,50000,Heartbit Interactive Srl,https://play.google.com/store/apps/details?id=hb.doom_and_destiny_advanced,249500.0
278,EvoCreo,GAME_ROLE_PLAYING,4.3,25775,0.99,100000,ilmfinity,https://play.google.com/store/apps/details?id=ilmfinity.evocreo.main.android,99000.0
279,Attack the Light,GAME_ROLE_PLAYING,4.7,19816,2.99,100000,Cartoon Network,https://play.google.com/store/apps/details?id=com.turner.stevenrpg,299000.0
280,Neverwinter Nights: Enhanced Edition,GAME_ROLE_PLAYING,3.6,624,9.99,10000,Beamdog,https://play.google.com/store/apps/details?id=com.beamdog.nwnandroid,99900.0
281,Monster Hunter Stories,GAME_ROLE_PLAYING,4.6,4056,19.99,10000,"CAPCOM CO., LTD.",https://play.google.com/store/apps/details?id=jp.co.capcom.mhsspen,199899.99999999997
282,FINAL FANTASY VII,GAME_ROLE_PLAYING,3.3,7332,15.99,100000,"SQUARE ENIX Co.,Ltd.",https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.FFVII,1599000.0
283,Alter Ego,GAME_ROLE_PLAYING,4.3,1554,4.99,10000,Choose Multiple LLC,https://play.google.com/store/apps/details?id=com.playalterego.android,49900.0
284,80 Days,GAME_ROLE_PLAYING,4.6,6354,4.99,50000,inkle Ltd,https://play.google.com/store/apps/details?id=com.inkle.eightydays,249500.0
285,Baldur's Gate: Enhanced Edition,GAME_ROLE_PLAYING,4.5,20970,9.99,100000,Beamdog,https://play.google.com/store/apps/details?id=com.beamdog.baldursgateenhancededition,999000.0
286,CHRONO TRIGGER (Upgrade Ver.),GAME_ROLE_PLAYING,3.9,11691,9.99,100000,"SQUARE ENIX Co.,Ltd.",https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.chrono,999000.0
287,The Bard's Tale,GAME_ROLE_PLAYING,4.6,68766,2.99,500000,inXile entertainment,https://play.google.com/store/apps/details?id=com.inxile.BardTale,1495000.0
288,Evoland 2,GAME_ROLE_PLAYING,4.3,3290,4.99,50000,Playdigious,https://play.google.com/store/apps/details?id=com.playdigious.evoland2,249500.0
289,Day R Premium,GAME_ROLE_PLAYING,4.7,59294,2.49,100000,tltGames,https://play.google.com/store/apps/details?id=com.gm_shaber.dayrpremium,249000.00000000003
290,ICEY,GAME_ROLE_PLAYING,4.5,4158,2.99,50000,X.D. Network,https://play.google.com/store/apps/details?id=com.fantablade.icey,149500.0
291,Rogue Hearts,GAME_ROLE_PLAYING,4.6,7072,0.99,100000,Ninetail Games,https://play.google.com/store/apps/details?id=com.ninetailgames.roguehearts.paid,99000.0
292,DRAGON QUEST,GAME_ROLE_PLAYING,4.2,9946,2.99,100000,"SQUARE ENIX Co.,Ltd.",https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.dq1_gp,299000.0
293,Pocket Rogues: Ultimate,GAME_ROLE_PLAYING,4.7,1997,0.99,10000,EtherGaming,https://play.google.com/store/apps/details?id=com.EtherGaming.PocketRoguesUltimate,9900.0
294,Goat Simulator MMO Simulator,GAME_ROLE_PLAYING,4.2,5629,4.99,100000,Coffee Stain Publishing,https://play.google.com/store/apps/details?id=com.coffeestainstudios.goatsimulator.mmo,499000.0
295,Hardboiled,GAME_ROLE_PLAYING,4.0,1834,0.99,100000,Game Dev Team,https://play.google.com/store/apps/details?id=ru.gamedevteam.hardboiled,99000.0
296,Battleheart Legacy,GAME_ROLE_PLAYING,4.6,7566,4.99,50000,Mika Mobile,https://play.google.com/store/apps/details?id=com.MikaMobile.BattleheartLegacy,249500.0
297,Guild of Dungeoneering,GAME_ROLE_PLAYING,4.7,4447,5.99,10000,Versus Evil,https://play.google.com/store/apps/details?id=air.com.gambrinous.guildofdungeoneering,59900.0
298,Neo Monsters,GAME_ROLE_PLAYING,4.5,63354,0.99,500000,NTT Resonant Inc.,https://play.google.com/store/apps/details?id=com.pockettrend.neomonsters,495000.0
299,A Dark Room ®,GAME_ROLE_PLAYING,4.7,6829,1.99,100000,Amir Rajan,https://play.google.com/store/apps/details?id=com.yourcompany.adarkroom,199000.0
300,Mini Metro,GAME_SIMULATION,4.8,16366,0.99,100000,Dinosaur Polo Club,https://play.google.com/store/apps/details?id=nz.co.codepoint.minimetro,99000.0
301,Poly Bridge,GAME_SIMULATION,4.6,3293,0.99,100000,Dry Cactus Limited,https://play.google.com/store/apps/details?id=com.drycactus.polybridge,99000.0
302,Farming Simulator 18,GAME_SIMULATION,4.5,25250,4.99,500000,GIANTS Software,https://play.google.com/store/apps/details?id=com.giantssoftware.fs18.google,2495000.0
303,Goat Simulator,GAME_SIMULATION,4.3,100981,4.99,1000000,Coffee Stain Publishing,https://play.google.com/store/apps/details?id=com.coffeestainstudios.goatsimulator,4990000.0
304,Game Dev Tycoon,GAME_SIMULATION,4.9,21794,4.99,100000,Greenheart Games,https://play.google.com/store/apps/details?id=com.greenheartgames.gdt,499000.0
305,Pocket City,GAME_SIMULATION,4.6,2875,3.99,100000,Codebrew Games,https://play.google.com/store/apps/details?id=com.codebrewgames.pocketcitygame,399000.0
306,FINAL FANTASY TACTICS : WotL,GAME_SIMULATION,4.2,13102,11.99,100000,"SQUARE ENIX Co.,Ltd.",https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.FFT_en2,1199000.0
307,Infinite Flight - Flight Simulator,GAME_SIMULATION,4.3,57446,4.99,500000,Infinite Flight LLC,https://play.google.com/store/apps/details?id=com.fds.infiniteflight,2495000.0
308,Goat Simulator Payday,GAME_SIMULATION,4.4,3109,4.99,50000,Coffee Stain Publishing,https://play.google.com/store/apps/details?id=com.coffeestainstudios.goatsimulator.payday,249500.0
309,Project Highrise,GAME_SIMULATION,4.6,1009,3.99,10000,Kalypso Media Mobile GmbH,https://play.google.com/store/apps/details?id=com.kalypsomedia.projecthighrise,39900.0
310,Getting Over It with Bennett Foddy,GAME_SIMULATION,3.9,1053,4.99,10000,Noodlecake Studios Inc,https://play.google.com/store/apps/details?id=com.noodlecake.gettingoverit,49900.0
311,Youtubers Life: Gaming Channel,GAME_SIMULATION,4.2,7037,8.99,100000,U-Play Online,https://play.google.com/store/apps/details?id=com.uplayonline.youtubers,899000.0
312,Goat Simulator Waste of Space,GAME_SIMULATION,4.3,4763,4.99,100000,Coffee Stain Publishing,https://play.google.com/store/apps/details?id=com.coffeestainstudios.goatsimulator.wasteofspace,499000.0
313,Pocket Aquarium,GAME_SIMULATION,4.3,125,0.99,10000,LinkLock,https://play.google.com/store/apps/details?id=com.linklock.pocketaquarium,9900.0
314,Farming Simulator 16,GAME_SIMULATION,4.2,34033,2.99,500000,GIANTS Software,https://play.google.com/store/apps/details?id=com.giantssoftware.fs16,1495000.0
315,Construction Simulator 2,GAME_SIMULATION,4.1,7452,2.99,100000,astragon Entertainment GmbH,https://play.google.com/store/apps/details?id=com.astragon.cs2016,299000.0
316,This Is the Police,GAME_SIMULATION,4.3,134,5.49,1000,HandyGames,https://play.google.com/store/apps/details?id=com.hg.titp,5490.0
317,One Hour One Life for Mobile,GAME_SIMULATION,4.5,2029,4.99,10000,Dual Decade,https://play.google.com/store/apps/details?id=com.wereviz.evolution,49900.0
318,SimplePlanes,GAME_SIMULATION,4.4,10074,4.99,100000,"Jundroo, LLC",https://play.google.com/store/apps/details?id=com.jundroo.SimplePlanes,499000.0
319,Farming USA 2,GAME_SIMULATION,4.6,3324,3.99,10000,Bowen Games LLC,https://play.google.com/store/apps/details?id=com.bowengames.farmingusa2,39900.0
320,Truck Simulator PRO 2,GAME_SIMULATION,3.8,1736,5.49,10000,Mageeks Apps & Games,https://play.google.com/store/apps/details?id=com.mageeks.android.trucksimulatorpro2,54900.0
321,911 Operator,GAME_SIMULATION,4.5,3787,6.49,50000,Games Operators,https://play.google.com/store/apps/details?id=com.jutsugames.operator911,324500.0
322,SPACEPLAN,GAME_SIMULATION,4.4,1624,2.99,10000,DevolverDigital,https://play.google.com/store/apps/details?id=com.devolver.spaceplan,29900.000000000004
323,Construction Simulator 2014,GAME_SIMULATION,4.3,103291,0.99,1000000,astragon Entertainment GmbH,https://play.google.com/store/apps/details?id=com.astragon.cs2014,990000.0
324,Ultimate Wolf Simulator,GAME_SIMULATION,4.3,7563,0.99,50000,Gluten Free Games LLC,https://play.google.com/store/apps/details?id=com.glutenfreegames.wolfsimulatortwo,49500.0
325,NBA 2K19,GAME_SPORTS,3.8,6692,7.99,50000,"2K, Inc.",https://play.google.com/store/apps/details?id=com.t2ksports.nba2k19and,399500.0
326,True Skate,GAME_SPORTS,4.4,134297,1.99,1000000,True Axis,https://play.google.com/store/apps/details?id=com.trueaxis.trueskate,1990000.0
327,NBA JAM  by EA SPORTS™,GAME_SPORTS,4.3,56778,4.99,500000,ELECTRONIC ARTS,https://play.google.com/store/apps/details?id=com.eamobile.nbajam_na_wf,2495000.0
328,Football Manager 2019 Mobile,GAME_SPORTS,4.0,7597,6.99,100000,SEGA,https://play.google.com/store/apps/details?id=football.manager.games.fm19.mobile,699000.0
329,WWE 2K,GAME_SPORTS,3.9,11930,5.99,100000,"2K, Inc.",https://play.google.com/store/apps/details?id=com.t2ksports.wwe2k15mobile,599000.0
330,Skater,GAME_SPORTS,3.8,4586,5.49,50000,The Skater Team,https://play.google.com/store/apps/details?id=com.froschmedia.skater,274500.0
331,Dude Perfect,GAME_SPORTS,4.0,8187,0.99,100000,Dude Perfect,https://play.google.com/store/apps/details?id=com.dudeperfect.dudeperfect,99000.0
332,Clay Hunt PRO,GAME_SPORTS,4.3,272,4.99,5000,Shotgun Gaming Oy,https://play.google.com/store/apps/details?id=com.aleksirantonen.clayhuntpro,24950.0
333,OK Golf,GAME_SPORTS,4.3,1325,2.99,50000,Playdigious,https://play.google.com/store/apps/details?id=com.okidokico.okgolf,149500.0
334,Flick Golf!,GAME_SPORTS,4.3,14496,0.99,500000,Full Fat,https://play.google.com/store/apps/details?id=com.fullfat.android.flickgolf,495000.0
335,R.B.I. Baseball 18,GAME_SPORTS,3.9,329,4.99,5000,"MLB Advanced Media, L.P.",https://play.google.com/store/apps/details?id=com.mlb.RBIBaseball2018,24950.0
336,Duck Life: Space,GAME_SPORTS,4.4,243,1.99,10000,MoFunZone.com,https://play.google.com/store/apps/details?id=com.mad.DuckLifeSpace,19900.0
337,Sumotori Dreams,GAME_SPORTS,4.1,13260,1.39,100000,Gravitysensation,https://play.google.com/store/apps/details?id=com.gravitysensation.sumotori,139000.0
338,Ice Fishing Derby Premium,GAME_SPORTS,4.2,232,2.99,5000,Pishtech LLC,https://play.google.com/store/apps/details?id=com.pishtech.mifdp,14950.000000000002
339,Pumped BMX 3,GAME_SPORTS,4.7,1683,3.99,50000,Noodlecake Studios Inc,https://play.google.com/store/apps/details?id=com.noodlecake.pumped3,199500.0
340,MLB Manager 2018,GAME_SPORTS,3.3,102,4.99,1000,OOTP Developments,https://play.google.com/store/apps/details?id=com.ootpdevelopments.mlbm2018,4990.0
341,Fish-o-niric,GAME_SPORTS,,0,0.99,10,Hugo Raygoza,https://play.google.com/store/apps/details?id=org.godotengine.fishoniric,9.9
